Date,Price,Open,High,Low,Change %
01-07-2008,3.958,3.967,4.178,3.771,-0.43%
01-06-2008,3.975,4.058,4.288,3.858,-2.26%
01-05-2008,4.067,3.74,4.141,3.683,8.92%
01-04-2008,3.734,3.734,3.734,3.734,9.15%
01-03-2008,3.421,3.421,3.421,3.421,-2.78%
01-02-2008,3.519,3.519,3.519,3.519,-2.17%
01-01-2008,3.597,3.597,3.597,3.597,-10.86%
01-12-2007,4.035,4.035,4.035,4.035,2.18%
01-11-2007,3.949,3.949,3.949,3.949,-11.71%
01-10-2007,4.473,4.473,4.473,4.473,-2.63%
01-09-2007,4.594,4.594,4.594,4.594,1.48%
01-08-2007,4.527,4.527,4.527,4.527,-4.35%
01-07-2007,4.733,4.733,4.733,4.733,-5.85%
01-06-2007,5.027,5.027,5.027,5.027,2.76%
01-05-2007,4.892,4.892,4.892,4.892,5.70%
01-04-2007,4.628,4.628,4.628,4.628,-0.43%
01-03-2007,4.648,4.648,4.648,4.648,1.55%
01-02-2007,4.577,4.577,4.577,4.577,-4.92%
01-01-2007,4.814,4.814,4.814,4.814,2.43%
01-12-2006,4.7,4.7,4.7,4.7,5.33%
01-11-2006,4.462,4.462,4.462,4.462,-3.08%
01-10-2006,4.604,4.604,4.604,4.604,-0.63%
01-09-2006,4.633,4.633,4.633,4.633,-2.09%
01-08-2006,4.732,4.732,4.732,4.732,-5.13%
01-07-2006,4.988,4.988,4.988,4.988,-3.05%
01-06-2006,5.145,5.145,5.145,5.145,0.43%
01-05-2006,5.123,5.123,5.123,5.123,1.31%
01-04-2006,5.057,5.057,5.057,5.057,4.20%
01-03-2006,4.853,4.853,4.853,4.853,6.50%
01-02-2006,4.557,4.557,4.557,4.557,0.84%
01-01-2006,4.519,4.519,4.519,4.519,2.82%
01-12-2005,4.395,4.395,4.395,4.395,-2.12%
01-11-2005,4.49,4.49,4.49,4.49,-1.47%
01-10-2005,4.557,4.557,4.557,4.557,5.19%
01-09-2005,4.332,4.332,4.332,4.332,7.92%
01-08-2005,4.014,4.014,4.014,4.014,-6.26%
01-07-2005,4.282,4.282,4.282,4.282,9.21%
01-06-2005,3.921,3.921,3.921,3.921,-1.66%
01-05-2005,3.987,3.987,3.987,3.987,-5.07%
01-04-2005,4.2,4.2,4.2,4.2,-6.42%
01-03-2005,4.488,4.488,4.488,4.488,2.44%
01-02-2005,4.381,4.381,4.381,4.381,6.03%
01-01-2005,4.132,4.132,4.132,4.132,-2.13%
01-12-2004,4.222,4.222,4.222,4.222,-3.05%
01-11-2004,4.355,4.355,4.355,4.355,8.09%
01-10-2004,4.029,4.029,4.029,4.029,-2.28%
01-09-2004,4.123,4.123,4.123,4.123,-2.76%
01-08-2004,4.24,4.24,4.24,4.24,-5.59%
01-07-2004,4.491,4.491,4.491,4.491,-2.01%
01-06-2004,4.583,4.583,4.583,4.583,-1.76%
01-05-2004,4.665,4.665,4.665,4.665,3.44%
01-04-2004,4.51,4.51,4.51,4.51,17.54%
01-03-2004,3.837,3.837,3.837,3.837,-3.40%
01-02-2004,3.972,3.972,3.972,3.972,-3.92%
01-01-2004,4.134,4.134,4.134,4.134,-2.80%
01-12-2003,4.253,4.253,4.253,4.253,-1.87%
01-11-2003,4.334,4.334,4.334,4.334,0.86%
01-10-2003,4.297,4.297,4.297,4.297,9.06%
01-09-2003,3.94,3.94,3.94,3.94,-11.86%
01-08-2003,4.47,4.47,4.47,4.47,1.36%
01-07-2003,4.41,4.41,4.41,4.41,25.43%
01-06-2003,3.516,3.516,3.516,3.516,4.24%
01-05-2003,3.373,3.373,3.373,3.373,-12.16%
01-04-2003,3.84,3.84,3.84,3.84,1.00%
01-03-2003,3.802,3.802,3.802,3.802,2.98%
01-02-2003,3.692,3.692,3.692,3.692,-6.91%
01-01-2003,3.966,3.966,3.966,3.966,3.88%
01-12-2002,3.818,3.818,3.818,3.818,-9.33%
01-11-2002,4.211,4.211,4.211,4.211,8.11%
01-10-2002,3.895,3.895,3.895,3.895,8.19%
01-09-2002,3.6,3.6,3.6,3.6,-12.83%
01-08-2002,4.13,4.13,4.13,4.13,-7.38%
01-07-2002,4.459,4.459,4.459,4.459,-7.28%
01-06-2002,4.809,4.809,4.809,4.809,-4.68%
01-05-2002,5.045,5.045,5.045,5.045,-0.86%
01-04-2002,5.089,5.089,5.089,5.089,-5.86%
01-03-2002,5.406,5.406,5.406,5.406,10.92%
01-02-2002,4.874,4.874,4.874,4.874,-3.41%
01-01-2002,5.046,5.046,5.046,5.046,0.34%
01-12-2001,5.029,5.029,5.029,5.029,5.78%
01-11-2001,4.754,4.754,4.754,4.754,12.02%
01-10-2001,4.244,4.244,4.244,4.244,-7.54%
01-09-2001,4.59,4.59,4.59,4.59,-5.17%
01-08-2001,4.84,4.84,4.84,4.84,-4.25%
01-07-2001,5.055,5.055,5.055,5.055,-6.46%
01-06-2001,5.404,5.404,5.404,5.404,0.35%
01-05-2001,5.385,5.385,5.385,5.385,0.92%
01-04-2001,5.336,5.336,5.336,5.336,8.57%
01-03-2001,4.915,4.915,4.915,4.915,0.22%
01-02-2001,4.904,4.904,4.904,4.904,-4.07%
01-01-2001,5.112,5.112,5.112,5.112,0.00%
01-12-2000,5.112,5.112,5.112,5.112,-6.68%
01-11-2000,5.478,5.478,5.478,5.478,-4.91%
01-10-2000,5.761,5.761,5.761,5.761,-0.81%
01-09-2000,5.808,5.808,5.808,5.808,1.38%
01-08-2000,5.729,5.729,5.729,5.729,-5.15%
01-07-2000,6.04,6.04,6.04,6.04,0.22%
01-06-2000,6.027,6.027,6.027,6.027,-4.11%
01-05-2000,6.285,6.285,6.285,6.285,1.08%
01-04-2000,6.218,6.218,6.218,6.218,3.60%
01-03-2000,6.002,6.002,6.002,6.002,-6.35%
01-02-2000,6.409,6.409,6.409,6.409,-3.80%
01-01-2000,6.662,6.662,6.662,6.662,3.53%
01-12-1999,6.435,6.435,6.435,6.435,3.91%
01-11-1999,6.193,6.193,6.193,6.193,2.74%
01-10-1999,6.028,6.028,6.028,6.028,2.50%
01-09-1999,5.881,5.881,5.881,5.881,-1.56%
01-08-1999,5.974,5.974,5.974,5.974,1.22%
01-07-1999,5.902,5.902,5.902,5.902,2.02%
01-06-1999,5.785,5.785,5.785,5.785,2.86%
01-05-1999,5.624,5.624,5.624,5.624,5.12%
01-04-1999,5.35,5.35,5.35,5.35,2.06%
01-03-1999,5.242,5.242,5.242,5.242,-0.98%
01-02-1999,5.294,5.294,5.294,5.294,13.78%
01-01-1999,4.653,4.653,4.653,4.653,-0.11%
01-12-1998,4.658,4.658,4.658,4.658,-1.36%
01-11-1998,4.722,4.722,4.722,4.722,2.59%
01-10-1998,4.603,4.603,4.603,4.603,4.09%
01-09-1998,4.422,4.422,4.422,4.422,-12.40%
01-08-1998,5.048,5.048,5.048,5.048,-8.12%
01-07-1998,5.494,5.494,5.494,5.494,0.88%
01-06-1998,5.446,5.446,5.446,5.446,-2.02%
01-05-1998,5.558,5.558,5.558,5.558,-4.50%
01-04-1998,5.82,5.82,5.82,5.82,2.86%
01-03-1998,5.658,5.658,5.658,5.658,0.60%
01-02-1998,5.624,5.624,5.624,5.624,1.96%
01-01-1998,5.516,5.516,5.516,5.516,-3.97%
01-12-1997,5.744,5.744,5.744,5.744,-2.31%
01-11-1997,5.88,5.88,5.88,5.88,0.84%
01-10-1997,5.831,5.831,5.831,5.831,-4.46%
01-09-1997,6.103,6.103,6.103,6.103,-3.72%
01-08-1997,6.339,6.339,6.339,6.339,5.42%
01-07-1997,6.013,6.013,6.013,6.013,-7.52%
01-06-1997,6.502,6.502,6.502,6.502,-2.42%
01-05-1997,6.663,6.663,6.663,6.663,-0.77%
01-04-1997,6.715,6.715,6.715,6.715,-2.78%
01-03-1997,6.907,6.907,6.907,6.907,5.35%
01-02-1997,6.556,6.556,6.556,6.556,0.82%
01-01-1997,6.503,6.503,6.503,6.503,1.15%
01-12-1996,6.429,6.429,6.429,6.429,6.30%
